img_id,ymin,xmin,ymax,xmax
1.jpg,276,94,326,169
10.jpg,311,395,344,444
100.jpg,406,263,450,434
101.jpg,283,363,315,494
102.jpg,139,42,280,222
103.jpg,437,320,475,450
104.jpg,482,511,547,623
105.jpg,281,452,330,535
106.jpg,309,172,332,281
107.jpg,399,328,425,441
108.jpg,98,611,379,681
109.jpg,236,137,255,222
11.jpg,378,359,421,545
110.jpg,307,529,372,641
111.jpg,305,23,384,113
112.jpg,264,345,388,386
113.jpg,278,361,318,493
114.jpg,366,328,398,454
115.jpg,348,120,385,262
116.jpg,411,114,468,291
117.jpg,305,258,343,440
118.jpg,276,38,333,96
119.jpg,299,610,365,662
12.jpg,402,243,450,385
120.jpg,224,545,259,597
121.jpg,403,333,432,499
122.jpg,336,126,359,258
123.jpg,287,120,302,193
124.jpg,481,276,507,442
125.jpg,314,191,386,338
126.jpg,372,138,392,250
127.jpg,348,414,381,536
128.jpg,284,153,316,252
129.jpg,324,130,352,253
13.jpg,347,285,397,562
130.jpg,367,99,448,212
131.jpg,392,119,439,285
132.jpg,318,517,397,641
133.jpg,413,135,440,259
134.jpg,146,366,341,415
135.jpg,361,171,383,265
136.jpg,213,152,246,292
137.jpg,252,429,362,549
138.jpg,278,130,294,194
139.jpg,309,61,356,143
14.jpg,376,289,417,501
140.jpg,339,309,393,517
141.jpg,307,201,379,325
142.jpg,283,625,347,661
143.jpg,280,419,320,492
144.jpg,286,159,303,245
145.jpg,235,176,266,302
146.jpg,261,515,336,583
147.jpg,352,248,413,460
148.jpg,184,145,241,241
149.jpg,328,156,351,250
15.jpg,379,69,405,190
150.jpg,318,165,344,272
151.jpg,429,316,472,554
152.jpg,384,153,444,285
153.jpg,297,139,330,286
154.jpg,328,187,367,310
155.jpg,196,186,213,271
156.jpg,284,149,341,276
157.jpg,369,268,419,384
158.jpg,118,513,253,558
159.jpg,310,62,351,142
16.jpg,314,255,359,428
160.jpg,402,276,457,530
161.jpg,186,111,204,207
162.jpg,379,412,470,556
163.jpg,154,440,298,473
164.jpg,333,146,369,272
165.jpg,331,268,372,448
166.jpg,480,133,510,271
167.jpg,269,440,320,538
168.jpg,80,506,344,612
169.jpg,134,498,227,619
17.jpg,397,200,498,380
170.jpg,262,396,290,530
171.jpg,301,123,353,233
172.jpg,391,331,453,490
173.jpg,386,45,428,168
174.jpg,257,103,282,192
175.jpg,364,311,417,562
176.jpg,301,658,359,762
177.jpg,385,139,406,258
178.jpg,365,311,420,561
179.jpg,281,66,317,145
18.jpg,176,354,348,395
180.jpg,266,552,319,646
181.jpg,217,118,241,208
182.jpg,293,103,321,221
183.jpg,120,478,296,515
184.jpg,239,120,263,216
185.jpg,378,230,423,438
186.jpg,392,207,424,344
187.jpg,329,377,438,406
188.jpg,264,223,312,435
189.jpg,227,192,266,277
19.jpg,263,96,301,206
190.jpg,266,50,315,221
191.jpg,295,334,326,471
192.jpg,396,302,432,453
193.jpg,357,593,419,694
194.jpg,416,110,473,257
195.jpg,370,290,420,446
196.jpg,263,181,280,269
197.jpg,302,100,329,206
198.jpg,294,146,316,216
199.jpg,191,145,220,279
2.jpg,297,96,324,209
20.jpg,232,153,270,192
200.jpg,437,200,475,386
201.jpg,368,257,409,461
202.jpg,239,179,274,212
203.jpg,327,175,385,263
204.jpg,345,150,374,291
205.jpg,379,495,431,595
206.jpg,355,96,389,207
207.jpg,174,501,316,537
208.jpg,154,562,321,615
209.jpg,360,47,409,109
21.jpg,432,300,473,494
210.jpg,304,297,349,484
211.jpg,265,97,291,207
212.jpg,240,89,269,202
213.jpg,339,312,388,507
214.jpg,319,521,400,645
215.jpg,319,99,341,202
216.jpg,397,107,455,247
217.jpg,260,107,292,155
218.jpg,281,151,342,276
219.jpg,407,269,456,506
22.jpg,236,162,256,262
220.jpg,343,110,413,274
221.jpg,322,248,368,442
222.jpg,172,190,192,291
223.jpg,390,357,423,496
224.jpg,330,116,421,281
225.jpg,320,108,350,232
226.jpg,335,668,395,762
227.jpg,344,345,377,479
228.jpg,422,338,468,551
229.jpg,272,285,319,493
23.jpg,289,85,321,190
230.jpg,403,293,432,410
231.jpg,282,401,325,563
232.jpg,293,152,317,267
233.jpg,326,57,376,140
234.jpg,241,185,277,364
235.jpg,385,148,416,265
236.jpg,382,493,435,595
237.jpg,338,106,360,228
238.jpg,259,359,281,480
239.jpg,156,305,175,391
24.jpg,434,258,491,507
240.jpg,284,106,341,212
241.jpg,306,43,370,128
242.jpg,329,273,357,405
243.jpg,337,234,399,476
244.jpg,234,390,276,551
245.jpg,366,265,418,389
246.jpg,323,161,346,246
247.jpg,356,327,403,382
248.jpg,346,185,383,340
249.jpg,254,92,290,190
25.jpg,290,72,319,191
250.jpg,324,146,354,269
251.jpg,249,379,315,537
252.jpg,308,105,333,200
253.jpg,343,323,377,456
254.jpg,282,34,309,108
255.jpg,333,99,363,230
256.jpg,360,131,390,249
257.jpg,287,82,317,191
258.jpg,360,93,398,276
259.jpg,191,526,363,565
26.jpg,342,325,379,493
260.jpg,367,268,421,388
261.jpg,440,284,492,529
262.jpg,240,430,284,543
263.jpg,139,530,310,569
264.jpg,252,350,295,524
265.jpg,433,38,489,218
266.jpg,232,109,274,195
267.jpg,237,557,290,692
268.jpg,413,130,450,267
269.jpg,386,96,417,206
27.jpg,182,592,215,665
270.jpg,294,109,320,217
271.jpg,265,447,419,487
272.jpg,256,220,290,327
273.jpg,259,146,280,232
274.jpg,319,516,402,646
275.jpg,231,107,275,196
276.jpg,352,280,416,450
277.jpg,278,150,346,290
278.jpg,248,55,272,149
279.jpg,336,309,378,485
28.jpg,300,319,330,455
280.jpg,336,127,364,213
281.jpg,291,397,333,557
282.jpg,315,308,350,416
283.jpg,67,586,262,653
284.jpg,471,82,510,302
285.jpg,287,236,320,350
286.jpg,313,307,350,389
287.jpg,372,108,412,262
288.jpg,244,306,273,417
289.jpg,457,278,508,495
29.jpg,198,353,226,478
290.jpg,195,397,268,494
291.jpg,366,264,415,387
292.jpg,171,309,198,389
293.jpg,360,190,447,403
294.jpg,360,551,435,677
295.jpg,306,163,331,267
296.jpg,295,164,350,284
297.jpg,258,267,294,418
298.jpg,346,160,380,301
299.jpg,339,176,360,262
3.jpg,525,216,547,397
30.jpg,237,276,265,404
300.jpg,311,254,353,333
301.jpg,402,133,433,281
302.jpg,409,145,443,278
303.jpg,288,148,336,324
304.jpg,336,119,359,210
305.jpg,307,105,334,197
306.jpg,293,140,317,241
307.jpg,330,150,357,270
308.jpg,160,627,392,690
309.jpg,376,328,414,489
31.jpg,337,129,357,240
310.jpg,224,219,257,305
311.jpg,347,138,379,220
312.jpg,290,348,324,469
313.jpg,367,293,400,433
314.jpg,395,63,472,171
315.jpg,309,332,351,507
316.jpg,290,123,312,217
317.jpg,373,89,443,263
318.jpg,341,311,385,509
319.jpg,356,71,387,196
32.jpg,324,292,437,409
320.jpg,111,576,307,640
321.jpg,295,332,330,473
322.jpg,415,196,461,333
323.jpg,299,57,374,169
324.jpg,256,343,325,593
325.jpg,443,357,477,503
326.jpg,292,173,338,264
327.jpg,391,329,431,498
328.jpg,307,628,394,821
329.jpg,295,107,323,217
33.jpg,407,305,443,492
330.jpg,410,300,462,541
331.jpg,342,161,370,270
332.jpg,325,318,357,445
333.jpg,395,283,435,455
334.jpg,367,161,403,303
335.jpg,269,164,301,292
336.jpg,387,307,421,464
337.jpg,385,370,422,521
338.jpg,376,256,415,433
339.jpg,179,270,318,303
34.jpg,246,287,276,348
340.jpg,336,323,388,518
341.jpg,222,89,244,182
342.jpg,14,410,121,480
343.jpg,361,99,388,200
344.jpg,363,282,418,393
345.jpg,341,247,403,396
346.jpg,140,628,390,659
347.jpg,333,245,371,395
348.jpg,274,172,293,254
349.jpg,255,662,324,743
35.jpg,397,219,461,394
350.jpg,310,148,337,259
351.jpg,349,427,397,558
352.jpg,364,420,438,549
353.jpg,382,451,443,566
354.jpg,310,240,359,386
355.jpg,374,353,407,479
356.jpg,388,353,434,565
357.jpg,427,110,459,305
358.jpg,276,33,300,152
359.jpg,158,29,179,110
36.jpg,382,363,422,530
360.jpg,334,123,361,262
361.jpg,278,305,314,403
362.jpg,269,348,315,526
363.jpg,353,150,383,286
364.jpg,328,117,351,214
365.jpg,344,342,376,491
366.jpg,321,83,402,175
367.jpg,315,171,339,295
368.jpg,355,234,398,463
369.jpg,319,249,354,389
37.jpg,355,140,380,243
370.jpg,179,142,196,218
371.jpg,74,352,189,384
372.jpg,339,179,369,308
373.jpg,267,67,290,162
374.jpg,227,96,260,202
375.jpg,245,446,321,523
376.jpg,310,11,349,160
377.jpg,147,34,187,261
378.jpg,349,229,391,388
379.jpg,250,452,380,484
38.jpg,436,322,472,518
380.jpg,265,614,327,706
381.jpg,441,245,496,477
382.jpg,409,461,509,667
383.jpg,381,162,443,289
384.jpg,345,192,393,308
385.jpg,189,551,381,604
386.jpg,298,149,329,267
387.jpg,307,264,354,464
388.jpg,308,90,334,191
389.jpg,370,522,458,642
39.jpg,365,99,382,211
390.jpg,262,246,290,313
391.jpg,256,198,311,280
392.jpg,266,560,336,667
393.jpg,179,179,226,293
394.jpg,375,235,428,362
395.jpg,249,154,275,263
396.jpg,153,73,190,131
397.jpg,393,134,428,288
398.jpg,324,115,365,253
399.jpg,363,311,419,562
4.jpg,190,131,210,216
40.jpg,288,163,302,240
400.jpg,331,191,364,281
401.jpg,319,255,357,365
402.jpg,191,454,327,486
403.jpg,131,340,268,387
404.jpg,177,126,212,242
405.jpg,379,156,424,249
406.jpg,377,135,410,267
407.jpg,233,134,272,224
408.jpg,397,306,433,460
409.jpg,248,380,313,536
41.jpg,387,383,487,420
410.jpg,89,236,231,302
411.jpg,197,354,224,479
412.jpg,183,608,386,645
413.jpg,346,301,387,448
414.jpg,286,133,359,251
415.jpg,323,127,357,259
416.jpg,162,149,196,287
417.jpg,336,284,399,517
418.jpg,219,174,239,251
419.jpg,366,212,403,333
42.jpg,118,577,203,609
420.jpg,374,240,412,406
421.jpg,323,89,402,213
422.jpg,420,129,451,277
423.jpg,376,124,408,270
424.jpg,412,200,461,389
425.jpg,299,348,332,498
426.jpg,256,557,313,647
427.jpg,219,144,275,208
428.jpg,152,399,320,437
429.jpg,360,238,410,434
43.jpg,282,251,319,336
430.jpg,111,54,171,138
431.jpg,295,373,324,478
432.jpg,322,470,378,562
433.jpg,415,208,468,410
434.jpg,302,192,332,331
435.jpg,317,150,355,246
436.jpg,226,423,266,530
437.jpg,343,118,382,278
438.jpg,341,398,391,601
439.jpg,396,261,437,439
44.jpg,380,287,423,458
440.jpg,176,35,216,91
441.jpg,319,272,390,426
442.jpg,279,134,308,263
443.jpg,289,284,336,468
444.jpg,223,183,261,278
445.jpg,318,93,347,231
446.jpg,417,157,446,263
447.jpg,252,196,274,262
448.jpg,298,113,344,292
449.jpg,244,216,302,551
45.jpg,258,150,306,226
450.jpg,397,218,435,344
451.jpg,377,199,439,346
452.jpg,337,177,357,274
453.jpg,324,132,351,255
454.jpg,345,696,472,823
455.jpg,370,263,417,454
456.jpg,364,225,412,409
457.jpg,388,278,422,458
458.jpg,360,275,412,456
459.jpg,404,290,451,452
46.jpg,374,141,412,277
460.jpg,311,217,350,334
461.jpg,315,141,353,255
462.jpg,191,475,356,507
463.jpg,228,191,267,281
464.jpg,321,374,357,518
465.jpg,380,240,410,367
466.jpg,396,218,431,376
467.jpg,357,137,383,254
468.jpg,379,192,420,294
469.jpg,143,458,329,498
47.jpg,299,83,324,176
470.jpg,230,542,365,584
471.jpg,310,228,362,341
472.jpg,247,570,309,676
473.jpg,292,403,316,478
474.jpg,313,36,347,208
475.jpg,286,19,377,140
476.jpg,418,62,454,178
477.jpg,310,217,345,337
478.jpg,347,358,395,472
479.jpg,196,219,214,308
48.jpg,320,234,393,559
480.jpg,347,141,372,275
481.jpg,317,203,363,427
482.jpg,267,150,288,242
483.jpg,269,437,321,544
484.jpg,502,300,547,463
485.jpg,314,214,347,301
486.jpg,226,107,257,223
487.jpg,345,298,387,460
488.jpg,243,349,293,524
489.jpg,352,128,377,277
49.jpg,151,255,257,327
490.jpg,243,66,277,174
491.jpg,404,160,436,286
492.jpg,355,134,378,233
493.jpg,276,176,314,289
494.jpg,250,364,284,502
495.jpg,294,111,322,227
496.jpg,254,141,280,284
497.jpg,300,134,323,237
498.jpg,305,132,337,234
499.jpg,312,140,342,250
5.jpg,359,48,406,148
50.jpg,405,164,451,291
500.jpg,275,143,306,273
501.jpg,239,543,342,664
502.jpg,371,249,409,410
503.jpg,333,217,369,317
504.jpg,339,159,368,274
505.jpg,420,288,450,407
506.jpg,234,203,304,508
507.jpg,301,131,336,274
508.jpg,264,50,314,219
509.jpg,323,103,358,263
51.jpg,339,425,362,505
510.jpg,229,429,282,588
511.jpg,379,257,429,446
512.jpg,308,109,331,211
513.jpg,306,130,331,233
514.jpg,396,244,446,404
515.jpg,387,122,418,282
516.jpg,337,258,367,336
517.jpg,400,142,433,220
518.jpg,432,84,466,269
519.jpg,307,343,350,496
52.jpg,170,161,198,279
520.jpg,427,277,484,517
521.jpg,337,180,363,311
522.jpg,410,254,456,439
523.jpg,309,378,342,493
524.jpg,310,146,356,338
525.jpg,280,97,354,206
526.jpg,370,687,471,811
527.jpg,356,193,386,333
528.jpg,226,59,255,150
529.jpg,349,393,381,522
53.jpg,418,327,457,557
530.jpg,115,110,163,253
531.jpg,193,136,216,231
532.jpg,355,174,385,260
533.jpg,239,102,282,165
534.jpg,174,102,194,189
535.jpg,281,105,306,221
536.jpg,176,142,200,211
537.jpg,364,369,407,562
538.jpg,354,535,412,633
539.jpg,183,111,210,259
54.jpg,167,698,267,759
540.jpg,353,254,390,425
541.jpg,409,290,444,459
542.jpg,410,252,453,472
543.jpg,400,168,449,285
544.jpg,186,570,228,668
545.jpg,298,372,341,529
546.jpg,243,125,277,277
547.jpg,243,140,262,234
548.jpg,371,173,393,284
549.jpg,236,87,251,161
55.jpg,298,319,331,454
550.jpg,390,152,413,255
551.jpg,376,378,433,545
552.jpg,268,354,307,505
553.jpg,293,129,316,253
554.jpg,262,212,294,321
555.jpg,285,158,309,259
556.jpg,309,236,340,336
