img_id,text
0.jpg,117T3989
1.jpg,128T8086
10.jpg,94T3458
100.jpg,133T6719
101.jpg,68T5979
102.jpg,106T2131
103.jpg,117T2600
104.jpg,58T8888
105.jpg,93T5599
106.jpg,155T1216
107.jpg,191T2827
108.jpg,127T9733
109.jpg,121T237
11.jpg,96T8557
110.jpg,172T9314
111.jpg,152T8269
112.jpg,127T9295
113.jpg,188T956
114.jpg,179T7121
115.jpg,169T9685
116.jpg,161T3230
117.jpg,74T3819
118.jpg,155T5259
119.jpg,137T5115
12.jpg,156T2325
120.jpg,169T9685
121.jpg,134T3970
122.jpg,120T5039
123.jpg,121T6559
124.jpg,145T5368
125.jpg,100T8109
126.jpg,118T5018
127.jpg,68T3759
128.jpg,190T413
129.jpg,125T5378
13.jpg,182T2759
130.jpg,165T6025
131.jpg,119T9133
132.jpg,66T5697
133.jpg,109T2328
134.jpg,84T1104
135.jpg,165T895
136.jpg,114T7304
137.jpg,37T3819
138.jpg,115T6064
139.jpg,98T5178
14.jpg,85T3827
140.jpg,112T6988
141.jpg,68T6341
142.jpg,90T4636
143.jpg,141T13
144.jpg,181T7519
145.jpg,106T9514
146.jpg,156T3853
147.jpg,159T7948
148.jpg,155T9278
149.jpg,191T9338
150.jpg,164T9653
151.jpg,148T2903
152.jpg,90T9848
153.jpg,87T9170
154.jpg,176T755
155.jpg,156T7524
156.jpg,168T1951
157.jpg,31T8115
158.jpg,193T4091
159.jpg,142T8217
16.jpg,159T3782
160.jpg,173T4951
161.jpg,136T2146
162.jpg,161T3015
163.jpg,194T735
164.jpg,123T3112
165.jpg,112T8576
166.jpg,70T652
167.jpg,140T566
168.jpg,89T3511
169.jpg,40T1901
17.jpg,195T2612
170.jpg,83T1812
171.jpg,181T2562
172.jpg,70T652
173.jpg,118T6637
174.jpg,194T558
175.jpg,175T7944
176.jpg,133T6719
177.jpg,142T7100
178.jpg,128T9146
179.jpg,122T7105
18.jpg,153T3222
180.jpg,48T6996
181.jpg,100T9345
182.jpg,173T9116
183.jpg,163T3294
184.jpg,69T5129
185.jpg,39T5898
186.jpg,95T6758
187.jpg,94T573
188.jpg,79T2589
189.jpg,47T8151
19.jpg,43T9644
190.jpg,70T8648
191.jpg,102T9407
192.jpg,94T3458
193.jpg,73T4019
194.jpg,128T1739
195.jpg,160T1641
196.jpg,188T8677
197.jpg,171T5976
198.jpg,153T8597
199.jpg,78T3293
2.jpg,170T6123
20.jpg,64T6581
200.jpg,179T7229
201.jpg,121T237
202.jpg,170T7645
203.jpg,140T659
204.jpg,103679N
205.jpg,93T4591
206.jpg,181T1022
207.jpg,171T2664
208.jpg,132T3848
209.jpg,173T6609
21.jpg,117T6491
210.jpg,106T2131
211.jpg,161T6744
212.jpg,188T7083
213.jpg,135T4716
214.jpg,168T6643
215.jpg,114T7304
216.jpg,188T543
217.jpg,174T4999
218.jpg,188T7083
219.jpg,137564N
22.jpg,72T6300
220.jpg,171T6934
221.jpg,166T1383
222.jpg,84T4097
223.jpg,122T7105
224.jpg,118T6637
225.jpg,170T7645
226.jpg,66T5697
227.jpg,182T2759
228.jpg,182T6149
229.jpg,119T2123
23.jpg,149T7951
230.jpg,125T6088
231.jpg,129T9084
232.jpg,177T4712
233.jpg,77T9587
234.jpg,77T4426
235.jpg,104T1884
236.jpg,135T5906
237.jpg,57T2904
238.jpg,125T2765
239.jpg,177T4735
24.jpg,170T9922
240.jpg,82T701
241.jpg,37T3819
242.jpg,164T9053
243.jpg,77T286
244.jpg,83T9393
245.jpg,139T8869
246.jpg,169T5973
247.jpg,169T7127
248.jpg,107T5823
249.jpg,149T3297
25.jpg,151T1866
